1D 255 -512.000000 260608.000000 [nbin xmin xmax]
"X" "Function_0"
146432.000000 257.857734
147456.000000 258.265469
148480.000000 258.614063
149504.000000 258.959531
150528.000000 259.095859
151552.000000 259.254922
152576.000000 259.676797
153600.000000 259.990234
154624.000000 260.171563
155648.000000 260.453359
156672.000000 260.646172
157696.000000 260.900391
158720.000000 261.287266
159744.000000 261.450781
160768.000000 261.701016
161792.000000 261.928281
162816.000000 262.081484
163840.000000 262.197656
164864.000000 262.395469
165888.000000 262.711172
166912.000000 262.816094
167936.000000 262.833906
168960.000000 263.062266
169984.000000 263.282813
171008.000000 263.487812
172032.000000 263.544688
173056.000000 263.759375
174080.000000 263.881563
175104.000000 264.040234
176128.000000 264.184375
177152.000000 264.268984
178176.000000 264.464141
179200.000000 264.595547
180224.000000 264.769219
181248.000000 264.838672
182272.000000 264.918906
183296.000000 265.134688
184320.000000 265.231328
185344.000000 265.349766
186368.000000 265.498125
187392.000000 265.536875
188416.000000 265.658750
189440.000000 265.696641
190464.000000 265.864531
191488.000000 265.952969
192512.000000 266.052187
193536.000000 266.163750
194560.000000 266.345859
195584.000000 266.462812
196608.000000 266.740547
197632.000000 266.774063
198656.000000 266.887969
199680.000000 266.910000
200704.000000 267.027031
201728.000000 267.149141
202752.000000 267.163281
203776.000000 267.289766
204800.000000 267.338828
205824.000000 267.393047
206848.000000 267.502109
207872.000000 267.598125
208896.000000 267.570625
209920.000000 267.590156
210944.000000 267.728594
211968.000000 267.635703
212992.000000 267.900547
214016.000000 267.809531
215040.000000 267.782969
216064.000000 267.874609
217088.000000 267.871641
218112.000000 267.954922
219136.000000 268.094687
220160.000000 268.060781
221184.000000 268.060625
222208.000000 268.125633
223232.000000 0.000000
224256.000000 0.000000
225280.000000 0.000000
226304.000000 0.000000
227328.000000 0.000000
228352.000000 0.000000
229376.000000 0.000000
230400.000000 0.000000
231424.000000 0.000000
232448.000000 0.000000
233472.000000 0.000000
234496.000000 0.000000
235520.000000 0.000000
236544.000000 0.000000
237568.000000 0.000000
238592.000000 0.000000
239616.000000 0.000000
240640.000000 0.000000
241664.000000 0.000000
242688.000000 0.000000
243712.000000 0.000000
244736.000000 0.000000
245760.000000 0.000000
246784.000000 0.000000
247808.000000 0.000000
248832.000000 0.000000
249856.000000 0.000000
250880.000000 0.000000
251904.000000 0.000000
252928.000000 0.000000
253952.000000 0.000000
254976.000000 0.000000
256000.000000 0.000000
257024.000000 0.000000
258048.000000 0.000000
259072.000000 0.000000
260096.000000 0.000000
