1D 255 -512.000000 260608.000000 [nbin xmin xmax]
"X" "Function_0"
149504.000000 259.050000
150528.000000 259.396562
151552.000000 259.700078
152576.000000 259.947188
153600.000000 260.200156
154624.000000 260.529219
155648.000000 260.761250
156672.000000 261.069219
157696.000000 261.251563
158720.000000 261.422500
159744.000000 261.784766
160768.000000 261.869141
161792.000000 262.039922
162816.000000 262.387891
163840.000000 262.519219
164864.000000 262.897969
165888.000000 263.057422
166912.000000 263.108984
167936.000000 263.395547
168960.000000 263.515000
169984.000000 263.759766
171008.000000 263.957812
172032.000000 264.118203
173056.000000 264.256719
174080.000000 264.600547
175104.000000 264.565156
176128.000000 264.900000
177152.000000 265.104453
178176.000000 265.282188
179200.000000 265.389922
180224.000000 265.589141
181248.000000 265.747344
182272.000000 265.783047
183296.000000 266.059687
184320.000000 266.217187
185344.000000 266.288906
186368.000000 266.517188
187392.000000 266.547344
188416.000000 266.658281
189440.000000 266.718359
190464.000000 266.844531
191488.000000 266.963984
192512.000000 267.071172
193536.000000 267.137578
194560.000000 267.128359
195584.000000 267.236094
196608.000000 267.383125
197632.000000 267.340625
198656.000000 267.500234
199680.000000 267.573047
200704.000000 267.538437
201728.000000 267.579531
202752.000000 267.710547
203776.000000 267.778906
204800.000000 267.831172
205824.000000 267.886172
206848.000000 267.916094
207872.000000 267.955859
208896.000000 268.014453
209920.000000 268.093984
210944.000000 268.138047
211968.000000 268.058594
212992.000000 268.226953
214016.000000 268.309688
215040.000000 268.384687
216064.000000 268.512969
217088.000000 268.539844
218112.000000 268.550234
219136.000000 268.550000
220160.000000 268.483516
221184.000000 268.688438
222208.000000 268.537479
223232.000000 0.000000
224256.000000 0.000000
225280.000000 0.000000
226304.000000 0.000000
227328.000000 0.000000
228352.000000 0.000000
229376.000000 0.000000
230400.000000 0.000000
231424.000000 0.000000
232448.000000 0.000000
233472.000000 0.000000
234496.000000 0.000000
235520.000000 0.000000
236544.000000 0.000000
237568.000000 0.000000
238592.000000 0.000000
239616.000000 0.000000
240640.000000 0.000000
241664.000000 0.000000
242688.000000 0.000000
243712.000000 0.000000
244736.000000 0.000000
245760.000000 0.000000
246784.000000 0.000000
247808.000000 0.000000
248832.000000 0.000000
249856.000000 0.000000
250880.000000 0.000000
251904.000000 0.000000
252928.000000 0.000000
253952.000000 0.000000
254976.000000 0.000000
256000.000000 0.000000
257024.000000 0.000000
258048.000000 0.000000
259072.000000 0.000000
260096.000000 0.000000
