1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
104448,000000	229,703672
105472,000000	230,660469
106496,000000	231,532734
107520,000000	232,708437
108544,000000	233,707187
109568,000000	234,476875
110592,000000	235,378203
111616,000000	236,293516
112640,000000	237,231562
113664,000000	237,868437
114688,000000	238,776406
115712,000000	239,663359
116736,000000	240,264453
117760,000000	241,055156
118784,000000	241,886094
119808,000000	242,370156
120832,000000	243,194687
121856,000000	243,753203
122880,000000	244,287031
123904,000000	245,040000
124928,000000	245,862812
125952,000000	246,478125
126976,000000	246,946484
128000,000000	247,502656
129024,000000	248,225859
130048,000000	248,589063
131072,000000	248,971641
132096,000000	249,586953
133120,000000	249,939531
134144,000000	250,474219
135168,000000	250,948594
136192,000000	251,350313
137216,000000	251,967344
138240,000000	252,404375
139264,000000	252,778984
140288,000000	253,366641
141312,000000	253,774453
142336,000000	253,952734
143360,000000	254,440937
144384,000000	254,742422
145408,000000	255,301094
146432,000000	255,451875
147456,000000	256,076875
148480,000000	256,533516
149504,000000	256,653516
150528,000000	256,969844
151552,000000	257,396562
152576,000000	257,630547
153600,000000	257,991797
154624,000000	258,296719
155648,000000	258,634063
156672,000000	258,960703
157696,000000	259,100781
158720,000000	259,379844
159744,000000	259,704922
160768,000000	259,903828
161792,000000	260,212031
162816,000000	260,423203
163840,000000	260,548047
164864,000000	260,999453
165888,000000	261,137031
166912,000000	261,309062
167936,000000	261,473906
168960,000000	261,742109
169984,000000	261,868906
171008,000000	262,196016
172032,000000	262,416953
173056,000000	262,479766
174080,000000	262,649922
175104,000000	262,777891
176128,000000	262,956016
177152,000000	263,055938
178176,000000	263,240000
179200,000000	263,456641
180224,000000	263,657422
181248,000000	263,681250
182272,000000	263,919766
183296,000000	263,978359
184320,000000	264,220156
185344,000000	264,190156
186368,000000	264,491797
187392,000000	264,590703
188416,000000	264,738828
189440,000000	264,884531
190464,000000	265,333594
191488,000000	265,355625
192512,000000	265,371484
193536,000000	265,485781
194560,000000	265,626797
195584,000000	265,670000
196608,000000	265,879141
197632,000000	266,043359
198656,000000	266,118438
199680,000000	266,139922
200704,000000	266,235313
201728,000000	266,290625
202752,000000	266,495937
203776,000000	266,392500
204800,000000	266,540703
205824,000000	266,668203
206848,000000	266,746172
207872,000000	266,812969
208896,000000	266,865078
209920,000000	266,896563
210944,000000	266,989531
211968,000000	266,993906
212992,000000	267,126406
214016,000000	267,115156
215040,000000	267,193125
216064,000000	267,159141
217088,000000	267,192266
218112,000000	267,265156
219136,000000	267,319922
220160,000000	267,253125
221184,000000	267,401172
222208,000000	267,362338
223232,000000	0,000000
224256,000000	0,000000
225280,000000	0,000000
226304,000000	0,000000
227328,000000	0,000000
228352,000000	0,000000
229376,000000	0,000000
230400,000000	0,000000
231424,000000	0,000000
232448,000000	0,000000
233472,000000	0,000000
234496,000000	0,000000
235520,000000	0,000000
236544,000000	0,000000
237568,000000	0,000000
238592,000000	0,000000
239616,000000	0,000000
240640,000000	0,000000
241664,000000	0,000000
242688,000000	0,000000
243712,000000	0,000000
244736,000000	0,000000
245760,000000	0,000000
246784,000000	0,000000
247808,000000	0,000000
248832,000000	0,000000
249856,000000	0,000000
250880,000000	0,000000
251904,000000	0,000000
252928,000000	0,000000
253952,000000	0,000000
254976,000000	0,000000
256000,000000	0,000000
257024,000000	0,000000
258048,000000	0,000000
259072,000000	0,000000
260096,000000	0,000000
